Action,Campaign,Ad Group,Keyword,Match Type,Reason
Remove,DST - Bulk/Party,Office Party,small wedding catering,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Naming Ceremony,small wedding catering,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,small wedding catering,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,marriage function catering,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,best wedding caterers Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,best wedding caterers Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding and catering services Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,food for wedding anniversary Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding caterers near me Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding biryani catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,marriage function catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding food order Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding reception catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding lunch catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding dining Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding reception catering Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding lunch catering Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding food order Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding caterers near me Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding caterers near me Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,marriage function catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding biryani catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding food order Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding reception catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Birthday Event,wedding lunch catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,small wedding catering,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,marriage function catering,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,food for wedding anniversary,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding catering Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding reception catering Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,best wedding caterers Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding caterers near me Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding catering Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding biryani catering,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding dining Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding biryani catering Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,food for wedding anniversary Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding caterers near me Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,marriage function catering Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding food order Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding reception catering Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding lunch catering Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,best wedding caterers Hyderabad,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding caterers near me Chennai,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding reception catering Chennai,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding lunch catering Chennai,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding food order Chennai,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding biryani catering Bangalore,PHRASE,Wedding/marriage term — removed per business decision
