Action,Campaign,Ad Group,Keyword,Match Type,Reason
Review,DST - Bulk/Party,Birthday Event,marriage function catering,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,marriage function catering,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,marriage function catering,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,small party caterers in chennai,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,small party caterers in chennai,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Baby Shower,small party caterers in chennai,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,home catering delivery,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,home catering delivery,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Baby Shower,home catering delivery,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,best caterers in Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,best caterers in Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,best caterers in Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,party food order near me,EXACT,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,party food order near me,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,best caterers in Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,best caterers in Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,best caterers in Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,corporate catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,corporate catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,corporate catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,wedding catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,wedding catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,wedding catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,catering services Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,catering services Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,catering services Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,griha pravesh catering,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,griha pravesh catering,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,griha pravesh catering,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,best wedding caterers Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,best wedding caterers Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,best wedding caterers Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,corporate catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,corporate catering Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,corporate catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,affordable catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,affordable catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,affordable catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,function catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,function catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,function catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,housewarming catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,housewarming catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,housewarming catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,office party catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,office party catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,office party catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,catering near me Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,catering near me Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,catering near me Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,birthday party catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,birthday party catering Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,birthday party catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,catering for birthday party Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,catering for birthday party Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,catering for birthday party Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,office lunch catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,office lunch catering Bangalore,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,office lunch catering Bangalore,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,wedding catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Anniversary Event,wedding catering Hyderabad,PHRASE,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Home Party,wedding catering Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
Review,DST - Bulk/Party,Birthday Event,home catering services Hyderabad,BROAD,Duplicate across ad groups — internal auction competition — needs manual ad group assignment
